"소득","가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액"
10013127,8047472,6803432,1244040
1001600,2482047,2177047,305000
1001880,709685,705519,4167
1002033,1325150,1121817,203333
1002162,891430,790430,101000
10021910,7184131,5115608,2068523
1002200,1097073,1097073,0
1002333,1203335,1201430,1905
1002433,666237,612903,53333
1002630,516003,249337,266667
10026993,9373334,6955988,2417345
10027297,5795229,3988846,1806383
1003050,1230630,1110780,119850
1003060,1322963,1316297,6667
10032500,1238683,860943,377740
10033830,8054711,5319939,2734771
10033980,7777668,5490100,2287568
10037950,6806342,4137712,2668630
10038850,10587899,3880682,6707217
10039080,4926309,2588679,2337630
10042180,7593155,3570032,4023123
1004363,1666691,1666691,0
1004433,1230228,1087895,142333
1004600,2588343,2429677,158667
10048297,6228218,2994548,3233670
10050000,4646781,3580788,1065993
10052887,7095252,4485398,2609854
1005680,1263720,1263720,0
10057842,8694763,3784383,4910380
1005980,1497586,1125086,372500
1006000,1281270,1049750,231520
1006000,582933,533833,49100
1006000,716098,676098,40000
10061897,5195901,2539148,2656753
10064920,3799744,2124694,1675050
10066667,6590410,5658530,931880
1007000,1656814,1571148,85667
1007240,598455,545455,53000
1007283,1303567,1286233,17333
1007317,1674551,1467884,206667
10073764,5640176,3252650,2387526
1007500,470111,329111,141000
10077753,2762056,1982097,779959
1007950,791173,600840,190333
1008170,1671020,1671020,0
1008430,653780,631780,22000
1008583,1265733,1189067,76667
10088850,6935880,5247917,1687963
1008925,449115,399115,50000
10090649,7883386,5869867,2013520
1009160,1280422,1240422,40000
10092003,3629644,2392594,1237050
10094347,7704493,4898180,2806313
10095250,6512109,3828084,2684025
1009667,841587,730460,111127
1010000,1337120,980400,356720
1010000,472781,399448,73333
1010000,910628,852658,57970
10100000,6552054,3052694,3499360
10100000,7274203,4171243,3102960
10100000,7535493,3776967,3758527
10101185,5323793,3439530,1884264
1010137,2290196,1708760,581436
1010270,727548,698095,29453
1010327,1239091,1222424,16667
1010363,1513140,1513140,0
1010363,1619237,1619237,0
10103983,7629521,1288721,6340800
1010607,757430,757430,0
10108980,6717662,3780647,2937015
1010950,1424116,1189476,234640
10109835,2514363,1816683,697680
1011100,5505133,2022773,3482360
10118165,7187672,3708460,3479211
1011933,1822077,1595410,226667
1012027,957676,809643,148033
1012176,944616,894616,50000
10122722,5330399,3682849,1647550
1012543,3693029,3268806,424223
1012553,1223037,1188363,34673
1012667,806320,776320,30000
10126890,6069646,4200186,1869460
10126990,6465320,3830163,2635157
10127108,11659653,8092337,3567316
10130905,7821055,4711565,3109490
1013333,1096866,1041866,55000
1013360,693197,593197,100000
10133667,6328392,4070960,2257431
10136990,9988804,7825344,2163460
1013840,1147775,722575,425200
1013900,1248743,811743,437000
10141000,2929924,2576531,353393
10144495,9390938,6437640,2953298
1014457,562932,562932,0
1014740,1107270,1037270,70000
1014777,1279838,1059552,220287
1015000,2192938,1942272,250667
10150000,8844328,7255242,1589086
1015487,1065679,1041013,24667
1015490,1423917,1041297,382620
1015750,523257,393257,130000
1016000,1247440,960300,287140
1016000,2433953,2040583,393370
1016010,1006932,956932,50000
10160633,7653396,4496457,3156939
1016090,424128,314128,110000
10163000,5409282,4480970,928312
1016617,581027,531027,50000
1016773,1118159,903159,215000
1016799,908307,807541,100767
1017113,1434800,811467,623333
1017150,817830,754940,62890
1017370,1095133,1095133,0
10179575,4958896,3494615,1464281
10180000,5475012,2636642,2838370
10180000,8682519,6849200,1833318
1018050,1098704,1065370,33333
1018070,1170653,1092743,77910
1018110,694030,694030,0
1018929,724743,678077,46667
10189863,6448977,4321590,2127387
