00001,233333,461464,440346,21118
00001,425000,640295,462581,177713
00001,623970,878922,824477,54445
00001,683333,922600,922600,0
00002,2682647,1809623,1561639,247983
00002,3931243,1759292,1374562,384730
00002,5273190,1773138,1139068,634070
00002,7639147,2564759,2317623,247137
00003,0,2068950,2065617,3333
00003,0,830027,830027,0
00003,1456700,1187800,1018100,169700
00003,5496860,5132486,4102276,1030210
00004,100000,1640017,1438017,202000
00004,3186157,1374549,1016829,357720
00004,3702933,1797309,1326346,470963
00004,8731007,4804327,3314341,1489986
00005,1539387,2208037,1863670,344367
00005,1905813,1619473,1400387,219087
00005,2050000,11944421,11506434,437987
00005,3823720,3929656,3563657,366000
00006,1236000,1434628,1424628,10000
00006,1469333,2282396,2132396,150000
00006,5780670,3401697,2955587,446110
00006,6721411,5707669,3675784,2031884
00007,1316667,914949,646616,268333
00007,1753750,848053,623053,225000
00007,283333,2431377,1770275,661103
00007,8271509,7682197,5803482,1878715
00008,1306653,2055173,1838506,216667
00008,2313245,2498108,2145029,353079
00008,6862460,7990271,5684109,2306162
00008,7589860,8248621,6201433,2047188
00009,3045000,1923595,1102268,821327
00009,3085333,2227257,1264787,962470
00009,6736573,5595231,3519925,2075307
00009,9190667,4807810,2944751,1863059
00010,1136000,2106724,1969999,136725
00010,2874013,2938354,2452055,486299
00010,3184000,2241158,1613908,627250
00010,3385364,3259857,2633927,625930
00011,1100000,1269644,1138394,131250
00011,2411813,1454064,1285364,168700
00011,5033333,2260818,1169255,1091563
00011,7567799,8199064,5840756,2358308
00012,1737750,1187511,1050963,136548
00012,300000,3282065,2019930,1262135
00012,5100000,1931994,886744,1045250
00012,7044115,3399811,1969851,1429960
00013,2166770,1783788,1533848,249940
00013,3146667,2132518,1138855,993663
00013,7656133,2824924,1584644,1240280
00013,9983333,4431553,2613853,1817701
00014,10483333,6598083,4903809,1694274
00014,2682547,1565164,1293177,271987
00014,5250000,1891845,1018795,873050
00014,9115000,3472932,2199226,1273706
00015,1253745,1008622,992622,16000
00015,5266667,5227753,4215189,1012563
00015,5979960,5629586,3565529,2064057
00015,8286190,4233739,2698566,1535173
00016,1900000,1505697,1271157,234540
00016,2929100,2687432,2024582,662850
00016,4830507,5180072,4224938,955133
00016,896300,2660568,1835563,825005
00017,1363750,1833713,1724263,109450
00017,2270000,1653266,1407013,246253
00017,2420029,2228694,2016527,212167
00017,821600,554935,551935,3000
00018,2511523,2111392,1800892,310500
00018,3098460,1638145,1165026,473119
00018,723750,1091762,839762,252000
00018,7786190,4369824,2625734,1744090
00019,1266667,1201599,870933,330667
00019,3152387,1805276,1286870,518406
00019,5002840,4211888,2927498,1284390
00019,5538365,8890873,6122863,2768010
00020,1300000,907861,643527,264333
00020,3904267,1956190,1455092,501099
00020,646300,2259701,1716368,543333
00020,6900000,4581380,3952550,628830
00021,2430000,1660295,1458587,201709
00021,3586500,1627006,1308942,318064
00021,821600,5494040,2744040,2750000
00021,8822557,6287141,4581073,1706068
00022,3040030,2059078,1641254,417824
00022,5865000,3239494,2122533,1116961
00022,7300000,4393205,3849248,543957
00022,7714741,5894883,4329899,1564984
00023,1266667,1110245,745458,364787
00023,1775890,2324690,2053110,271580
00023,4262500,2422972,1973087,449885
00023,5963750,3796544,3064751,731793
00024,10667054,9807906,4661106,5146800
00024,3758133,1621958,1226644,395314
00024,453333,436617,302984,133633
00024,490727,456177,453677,2500
00025,2169463,1560439,777969,782470
00025,2923333,3639134,3110328,528807
00025,3577960,4483147,3142121,1341027
00025,3693750,1510637,1179547,331090
00026,0,1126952,1041952,85000
00026,11623333,5519823,3153586,2366237
00026,6953170,5589171,3726034,1863137
00026,717083,545455,377121,168333
00027,1700000,1499638,1314638,185000
00027,3490310,2853759,1943094,910665
00027,3577960,2811935,2295721,516213
00027,5084750,3324124,2326084,998040
00028,11987565,8022520,2793767,5228753
00028,1205267,1541313,1514585,26728
00028,12460000,5450314,3143044,2307270
00028,3016667,3220009,2711076,508933
00029,1987250,1404356,1308356,96000
00029,4250000,4603497,3131641,1471857
00029,5896977,3986647,2570863,1415784
00029,7475000,3802334,2953001,849333
00030,3183333,5465730,4607123,858606
00030,3410000,2522519,1639532,882987
00030,5133750,2572509,2069049,503460
00030,605223,527893,527893,0
00031,11186631,7259765,2823295,4436470
00031,11700000,6020839,3328109,2692730
00031,8748333,4136120,2994014,1142107
00031,911867,1145599,1047266,98333
00032,4610000,3476164,2287134,1189030
00032,575467,445743,445743,0
00032,733333,1503573,834113,669460
00032,918683,1172950,1022950,150000
00033,12738073,8258758,2935701,5323057
00033,1357283,1187517,1088850,98667
00033,1826733,746746,733220,13527
00033,3650000,3003952,1655602,1348350
00034,1130570,1113813,1070480,43333
00034,1150000,1598865,857199,741667
00034,15411765,8459101,5441240,3017861
00034,8057640,3456859,2403859,1053000
00035,0,1962038,1663365,298673
00035,13267837,19029997,13930864,5099133
00035,1586667,789166,777470,11697
00035,2000000,4814881,3974401,840480
00036,10996887,7884962,5750312,2134650
00036,11268980,7331837,3635557,3696280
00036,12413680,8988059,5927933,3060126
00036,8057640,3181889,2347556,834333
00037,0,1840443,1557789,282653
00037,0,5130825,4748905,381920
00037,12366667,6625844,4272391,2353453
00037,7026875,5748239,5692239,56000
00038,3350000,1916138,1412950,503188
00038,8000000,10944348,8028552,2915797
00038,9506460,6537107,4478765,2058342
00038,9524373,10753591,7502869,3250722
00039,12100000,7439057,4814614,2624443
00039,15194633,9912389,6048036,3864353
00039,7881400,6336567,3601357,2735211
00039,9348333,3741337,2662364,1078973
