"가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드"
1000080,993413,6667,1,01,1
1000270,985270,15000,1,02,2
1000338,827538,172800,1,01,1
10011957,7471027,2540930,5,10,8
10017707,8270046,1747662,4,07,6
10018453,5970727,4047726,5,10,8
1002170,599395,402775,2,04,3
10024531,9080763,943768,1,01,1
1002531,839531,163000,1,02,2
1002549,879049,123500,1,01,1
1003292,791199,212093,1,02,2
1003412,973412,30000,1,01,2
1003443,824753,178689,1,02,2
1003494,988034,15460,1,01,2
10035746,6666995,3368751,5,10,8
1003639,798639,205000,1,02,2
1004206,919206,85000,1,02,2
1004313,918642,85672,2,03,3
1004825,978158,26667,1,01,1
1005145,876806,128340,1,02,2
1005297,980130,25167,1,01,1
10055709,5707507,4348202,5,10,8
1006030,1006030,0,1,02,2
1006581,977243,29338,1,02,2
10066062,8418279,1647783,5,10,8
1006644,965546,41098,1,01,1
1006759,593174,413585,1,02,2
10067719,8042836,2024883,5,10,8
1006841,998508,8333,1,01,1
1007171,839161,168010,2,03,3
1008462,956627,51835,1,01,2
1008682,828682,180000,1,02,2
1009108,983101,26007,2,04,3
1009230,970452,38778,1,01,1
1009271,982264,27007,2,03,2
10099363,7414873,2684490,5,09,8
1010020,903290,106730,1,02,2
1010520,918020,92500,1,02,2
1010787,960439,50348,1,01,1
1011086,946086,65000,1,02,2
10111401,9238706,872695,3,05,4
1011448,834870,176578,1,01,2
1011921,951921,60000,1,01,1
1012465,1012465,0,1,01,2
1012681,1012681,0,1,01,1
10128229,8548212,1580017,4,08,6
10130207,8264037,1866170,5,10,8
1013082,388852,624230,1,02,2
1013633,950506,63127,1,01,1
1013908,1013908,0,1,02,2
1013915,789728,224188,2,03,2
10140226,4227889,5912337,5,10,8
1014095,719345,294750,2,04,3
1014854,694854,320000,1,01,1
1014930,1011680,3250,1,01,1
1015335,938905,76430,1,02,2
1015398,665438,349960,1,01,2
1015497,856997,158500,1,02,2
10160785,8031108,2129677,4,08,7
10161849,7896829,2265020,5,10,8
1016572,1016572,0,1,01,1
1016649,792311,224338,2,04,3
10167142,6608839,3558303,5,10,8
1017282,957115,60167,1,02,2
1017381,968471,48910,1,01,1
1017425,1017425,0,1,01,1
1017980,501160,516820,1,02,2
10181846,4385099,5796747,5,10,8
1018523,748523,270000,1,02,2
1018593,889973,128620,2,03,2
1018809,680944,337865,1,02,2
1018810,806260,212550,2,03,2
1018848,982708,36140,1,02,2
1018912,971828,47083,1,01,2
1018930,977263,41667,1,01,2
1018987,918561,100427,1,02,2
1019351,741844,277508,1,02,2
1019583,852917,166667,1,02,2
1020004,920004,100000,1,01,1
10200160,6619860,3580301,5,09,7
1020225,790225,230000,1,02,2
1020753,993627,27127,1,01,1
1021222,971222,50000,2,03,3
1021556,991426,30130,1,01,2
10219377,6097213,4122164,5,10,8
1022548,1000548,22000,1,02,2
1022572,936462,86110,1,01,1
1023018,757722,265296,1,01,2
1023064,850624,172440,2,03,2
1023064,918723,104342,1,02,2
1023277,862327,160950,1,01,1
1023477,865474,158003,2,03,3
10235090,8215062,2020028,5,10,8
1023714,949381,74333,1,01,2
10237435,7690820,2546615,5,10,8
1024110,866886,157224,2,03,3
1024621,888415,136207,1,02,2
1024653,976903,47750,1,02,2
1024665,784528,240137,3,06,4
1025399,995557,29842,1,01,1
1025478,835022,190457,1,02,2
10261694,6367589,3894105,5,10,8
1026325,926325,100000,1,02,2
10264494,8524417,1740077,5,09,8
10268407,1048129,9220278,5,10,8
1026858,819553,207305,1,02,2
1027104,1001104,26000,2,03,3
1027178,974368,52810,1,01,1
1027553,703190,324363,3,05,4
10275902,3699389,6576513,5,10,8
1027751,790477,237273,2,03,3
1028027,954944,73083,3,05,4
