"가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드"
4896213,4474285,421928,4,07,5
489642,451287,38355,1,01,1
4897179,3196793,1700387,5,09,7
4898146,3172834,1725313,5,10,8
4898210,3815430,1082780,5,09,7
4898779,3055225,1843554,4,08,6
4899142,3406479,1492663,5,09,8
4899271,2516059,2383212,5,10,8
4899393,3535547,1363846,5,10,8
490003,438552,51452,1,01,1
490073,353743,136330,1,01,1
4901881,3793220,1108661,4,07,6
4902241,2210811,2691430,2,04,3
4902565,3554680,1347885,4,08,6
4902646,3563124,1339522,4,08,7
4903158,3256599,1646558,4,08,6
4903516,1061726,3841790,4,07,5
4904027,3409334,1494693,4,07,5
4904271,3987611,916660,5,09,8
490454,393926,96528,1,02,2
4904634,4011448,893186,5,09,7
4904878,3834378,1070500,3,05,4
4905187,2340159,2565028,5,10,8
4905782,3279193,1626589,4,08,6
4908225,3357073,1551152,5,09,8
4908268,3608026,1300242,5,09,8
4911988,3122340,1789648,4,08,7
4911995,3672998,1238998,4,08,6
4915083,2649726,2265358,5,10,8
4916357,4671653,244705,3,05,4
4917845,3054343,1863502,5,10,8
4919334,3464277,1455057,4,07,5
4920016,4435809,484207,3,06,5
4922231,1603429,3318802,4,07,5
4922237,4154862,767375,4,08,7
4923110,3757542,1165568,5,09,8
4923975,2780258,2143717,5,09,8
4924771,3787349,1137422,5,09,8
4925311,3454426,1470885,5,09,8
4925415,2974773,1950643,5,10,8
492544,484210,8333,1,01,1
4926607,4091897,834710,5,10,8
4926639,3498754,1427885,3,06,4
492675,492675,0,1,01,1
4926819,2275258,2651561,5,09,8
4927240,4041263,885977,5,10,8
4929542,2996438,1933104,5,10,8
4931631,2090131,2841500,4,08,7
4932418,3742728,1189690,4,08,7
493296,470601,22695,1,01,1
4933891,2784897,2148994,5,09,8
493393,426727,66667,1,02,2
4934381,2960029,1974352,5,10,8
4934506,2956027,1978478,5,10,8
4934770,3787378,1147392,4,07,6
4935405,3708548,1226858,4,08,7
4936115,2124687,2811428,4,08,6
493641,492641,1000,1,02,2
4940168,3618863,1321305,5,09,8
494035,488535,5500,1,01,1
4946621,2480685,2465937,5,10,8
4946786,3796237,1150549,4,08,7
4947898,4451231,496667,3,05,4
4948518,3248013,1700505,4,07,6
4948617,4573484,375133,4,08,7
4949145,3403580,1545566,5,10,8
4949518,3438947,1510571,4,08,7
495027,361693,133333,1,01,1
495045,495045,0,1,02,2
4950622,3734197,1216424,4,07,6
4950952,2983100,1967852,5,09,7
4951255,1643936,3307320,4,07,5
4951360,2429248,2522112,4,07,5
4951582,2842902,2108680,5,09,8
4951924,2232234,2719690,5,10,8
4955650,3209165,1746485,3,06,5
4957162,4348640,608522,5,09,8
4958987,2036769,2922218,5,09,7
4959307,3859444,1099863,4,08,6
4961022,3061265,1899758,5,09,8
496133,417280,78853,1,01,1
4961935,4033128,928807,5,09,8
4963206,3300019,1663187,5,09,8
4964731,3399550,1565182,5,10,8
4965484,1192124,3773360,5,10,8
496611,477611,19000,1,02,2
4966365,3632050,1334315,5,09,7
496669,484033,12637,1,02,2
4967039,1628489,3338550,4,07,5
4967993,3871518,1096475,5,10,8
496825,482895,13930,1,01,1
4969498,3912586,1056911,5,10,8
4971261,4971261,0,4,07,5
4972368,2481663,2490705,5,10,8
4973177,3218283,1754895,5,09,8
497475,402475,95000,1,01,1
4975945,4414242,561703,4,07,5
4976277,3704434,1271843,5,09,8
4976814,3474999,1501815,5,10,8
4977680,3466846,1510834,5,09,8
4978289,2727409,2250880,2,04,3
4979411,4315879,663532,5,10,8
4982882,4266162,716720,5,10,8
4983492,3439662,1543830,5,09,8
4983640,3338950,1644690,5,09,7
4985348,3593594,1391755,4,08,7
4985433,3701125,1284308,4,07,6
498638,496805,1833,1,01,1
4986392,4346792,639600,3,06,5
4988329,3346799,1641530,3,06,5
4989245,3213128,1776117,5,09,8
4991109,3680432,1310677,5,10,8
4991195,3816195,1175000,4,07,5
4991357,3094448,1896909,5,09,7
4992572,3999170,993402,4,07,5
4992827,2516815,2476013,5,09,8
4993107,3169313,1823793,4,08,7
4993114,3346727,1646388,5,09,8
4993139,4167914,825225,5,09,8
4993349,3893382,1099967,4,07,6
4994095,2926365,2067730,5,10,8
4995661,3900842,1094819,5,09,8
4997051,3517527,1479523,5,09,7
4997234,3810763,1186471,5,09,8
4999693,4609328,390365,5,10,8
5002818,3005302,1997516,5,09,8
5003013,3973161,1029853,5,10,8
5003885,3732403,1271482,5,09,7
5003941,3745781,1258160,4,08,6
5004630,3290700,1713930,5,09,8
5004720,3133310,1871410,5,09,8
5005076,3791721,1213356,4,08,7
5005233,3884183,1121050,5,10,8
5005263,3554868,1450395,5,09,7
5005333,2819457,2185876,5,10,8
5005503,3113810,1891692,5,10,8
5005534,2361117,2644418,4,08,7
5006238,3434555,1571683,5,10,8
