"가계지출금액","가계지출_소비지출금액","가계지출_비소비지출금액","전국전체가구_1인이상소득5분위코드","전국전체가구_1인이상소득10분위코드","소득구간코드"
1000156,714186,285970,1,02,2
1000224,978432,21792,1,02,2
10009001,7826625,2182376,5,10,8
1001273,1000940,333,1,02,2
10012830,8300398,1712432,4,08,7
1001745,948485,53259,2,04,3
1002340,977340,25000,1,01,1
1002731,994398,8333,1,01,1
1002814,895822,106991,1,02,2
1002828,781283,221545,2,03,3
1003375,767503,235873,2,04,3
1003480,923480,80000,1,01,1
1003492,766204,237288,2,04,3
1003722,917056,86667,1,02,2
1003887,641470,362418,2,04,3
1004408,830658,173750,1,02,2
1004943,915402,89541,1,01,1
10049557,6522037,3527520,5,10,8
1005082,949401,55682,1,02,2
1005460,972960,32500,1,02,2
1005639,566581,439058,2,03,2
1005910,945910,60000,1,01,1
10059749,8259929,1799820,5,10,8
1006557,614058,392499,1,02,2
10066035,8661231,1404804,4,07,5
10077730,7357630,2720100,5,10,8
1007850,950930,56920,1,01,1
10078571,9592040,486531,3,05,4
1008036,884339,123697,1,01,1
10083319,4977363,5105956,5,10,8
1008622,992622,16000,1,02,2
1009340,1009340,0,1,01,1
1010249,939386,70863,1,01,1
1010255,986731,23524,1,02,2
1010510,995810,14700,2,03,3
1011215,895130,116085,1,01,1
10117915,8836368,1281547,5,10,8
1011870,664370,347500,1,01,1
10118863,5611922,4506941,5,10,8
1012003,892234,119769,1,02,2
1012149,781264,230886,2,03,2
10122216,4823210,5299007,5,10,8
1012922,916838,96084,1,01,1
1012975,964135,48840,1,02,1
1013220,829800,183420,1,01,1
1013542,879990,133552,2,03,2
1013658,933658,80000,1,01,1
1014129,861539,152590,1,01,1
1014841,815241,199600,2,03,2
1014996,950120,64876,1,01,1
1015074,835012,180062,1,02,2
1015185,781635,233550,1,01,1
1015518,890146,125371,1,02,2
1015849,811983,203866,2,03,3
1016883,832951,183932,2,03,3
1017504,418235,599268,1,01,1
1017680,910022,107658,2,03,2
1018434,858891,159543,1,02,2
1018641,898879,119762,1,01,1
1018853,917711,101143,1,01,1
1019340,714245,305095,1,01,1
10194444,8304934,1889510,3,05,4
10195398,6933758,3261640,5,10,8
10198200,8388100,1810100,4,08,6
1019998,965078,54920,2,03,3
10213072,5916654,4296417,5,10,8
1021683,773445,248238,2,03,3
10220165,9487641,732524,5,10,8
10222818,2188855,8033963,5,10,8
1023042,907292,115750,1,02,2
1023213,730803,292410,2,03,3
1023761,644593,379168,1,01,1
1023884,943740,80144,2,03,2
1023975,673316,350659,3,05,4
10244509,8445976,1798533,4,08,6
1024520,994252,30269,1,01,1
1024600,660600,364000,1,01,1
10248011,7499343,2748668,5,10,8
1025170,1025170,0,1,01,1
10253771,8869759,1384012,5,09,7
1026060,992100,33960,1,02,2
1026086,1002761,23325,1,01,1
1026257,989590,36667,1,02,2
1027553,835169,192384,1,01,1
1028150,839330,188820,3,05,4
1028246,841484,186762,1,02,2
1028380,1028380,0,1,02,2
1028494,927417,101077,1,02,2
10286267,7551269,2734998,5,10,8
1028708,462015,566692,1,02,2
1028754,866314,162440,1,02,2
1029124,951687,77437,1,02,2
1029385,979385,50000,2,04,3
1030092,990092,40000,1,02,2
10309977,9351818,958159,5,10,8
1031081,963641,67440,1,02,2
1031310,841633,189677,2,03,3
1031753,669239,362514,1,02,2
1032288,974340,57948,2,04,3
1032513,966050,66463,1,02,2
1032899,854399,178500,1,01,1
1033911,863927,169984,2,03,3
1034283,930790,103493,1,02,2
1035211,900497,134714,1,02,2
10353056,8934886,1418170,5,10,8
1035860,861003,174857,1,02,2
1036257,1032757,3500,1,02,2
1036296,827358,208938,2,03,2
1036427,836139,200288,1,02,2
1036450,997950,38500,2,03,3
10367205,8165095,2202110,5,09,8
1037206,903976,133230,2,04,3
1037268,896663,140605,1,01,1
1037356,756886,280470,1,01,1
10376779,9070869,1305911,4,08,6
1038375,981042,57333,2,04,3
1039804,1039804,0,1,02,2
1040247,986287,53960,1,02,2
1041527,653781,387746,1,02,2
1041834,941834,100000,2,03,3
1041875,1041875,0,1,01,1
10418781,8275891,2142890,5,09,8
10419070,4922786,5496284,5,10,8
10420280,5305817,5114463,5,10,8
1042060,940001,102058,1,01,1
1042674,757621,285053,2,03,2
1043016,856015,187002,1,02,2
1043236,778321,264915,2,04,3
1043397,948025,95372,1,01,1
1043938,969430,74508,2,03,2
1044130,775330,268800,2,04,3
1044466,875177,169289,2,03,2
10445261,3538471,6906790,5,10,8
1044743,1003200,41543,1,02,2
1045043,961710,83333,1,01,1
1045172,773432,271740,1,02,2
1045318,1045318,0,2,03,2
1045422,952089,93333,1,02,2
1046147,1046147,0,1,01,1
1046157,759490,286667,1,01,1
1047335,953002,94333,1,01,1
1047655,1047655,0,1,01,1
1047947,609947,438000,1,01,1
1047975,856055,191920,1,02,2
1048042,894437,153605,2,03,2
1048517,824253,224264,2,04,3
1048953,1048953,0,1,01,1
1049307,984997,64310,3,05,4
1050037,698444,351593,1,02,2
1050105,1014905,35200,1,02,2
1050106,918106,132000,1,01,1
1050234,822447,227787,1,01,1
1050963,657943,393020,1,01,1
1051396,755486,295910,1,02,2
1051793,658883,392910,2,03,2
1051995,755783,296213,3,06,5
1053023,944728,108295,1,02,2
1053303,860591,192712,1,02,2
1054225,919924,134301,2,03,2
1055111,818777,236333,1,01,1
1055597,884263,171333,1,01,1
10559966,6239245,4320721,5,10,8
1056185,887185,169000,2,04,3
1056248,948875,107373,2,03,2
1056362,906362,150000,1,01,1
1056758,1054258,2500,1,01,1
1057338,1057338,0,1,02,2
1057585,849072,208513,2,03,3
10578235,8314031,2264204,5,10,8
1058858,1043691,15167,1,02,2
1059118,856968,202150,1,01,1
1059163,964163,95000,1,01,1
1059316,784886,274431,2,03,3
1059453,752425,307027,2,04,3
1059492,820591,238901,2,03,2
1059760,956267,103494,1,01,1
1059944,1029944,30000,1,02,2
1059997,1014097,45900,1,01,1
1060300,1060300,0,1,01,1
1060481,869885,190597,1,02,2
1061591,918583,143009,1,02,2
1062275,639233,423041,1,01,1
1062526,792726,269800,2,03,2
1063289,928135,135154,2,03,2
1063449,938949,124500,2,03,3
1063509,763039,300470,1,01,1
1064844,917855,146990,4,08,6
10649217,5495471,5153745,5,10,8
1065406,984939,80467,1,01,1
10657051,3820099,6836952,4,07,5
106590,106590,0,1,01,1
1066160,829170,236990,3,05,4
